,Intercept,country[T.US]
y0,-26.604514014589018,19.62649847405522
y1,-6.44564303241823,0.7348873784854003
y2,6.303893937701517,15.71794586108641
y3,-3.4886321925664925,2.6801702413619957
y4,0.9760519819712647,2.905977696758735
y5,4.8341592808174845,0.21961022680842435
y6,1.897364530010878,0.5747778288889924
y7,-1.3533906878353847,-0.8510145518712986
y8,0.1907137703725893,0.053994933867074546
y9,-7.114074767482973,-5.633666123945249
y10,-2.3144872740763174,0.895258721884927
y11,0.56011630341117,-0.30529961238546494
y12,-2.535956691456485,0.9477812903130363
y13,-2.6348585634960626,0.250408287136032
y14,1.930317169607089,-0.14683870467660232
y15,-10.197047544034252,2.6989307828816957
y16,-1.314580107400571,0.9300106586289626
y17,-4.402846851910128,0.34290907967948575
y18,-4.074842764461244,4.222041478938361
y19,-0.5349180604110274,-0.31047827596159117
y20,2.274685842084083,-1.7302249268912695
y21,-1.3372442512991958,-0.5765581969035092
y22,-8.563436142410243,2.4156584352651334
y23,-1.1364343569221407,-0.876557735466821
y24,-0.14470023942565913,0.08276610323564992
y25,-1.012240854310872,0.686259167671307
y26,-1.2273509165183067,-0.3445572119307574
y27,-1.9420910816102919,-1.88143213857622
y28,-11.018676976779982,7.737070442105353
y29,3.574442673289648,-0.16608819268885244
y30,-1.5564611567775728,0.7551832161976763
y31,-3.469028647235665,0.6752972534490365
y32,-0.7234070924472482,-0.7931830953279464
y33,0.38198482012356993,-2.181265561501385
y34,3.7882080470005315,-0.18591852071044523
y35,0.019457319688515384,-0.007881584180370382
y36,-3.4659431049530114,0.5767841994638835
y37,-7.115005870618015,2.4428384171716226
y38,-2.825626017127071,0.41539981345968946
y39,0.6377890117722784,-0.7008422294151784
y40,1.0364693313923508,-1.6179195980831451
y41,3.579078545831554,-0.35159264973661886
y42,-3.8143603462593294,2.3088457946160497
y43,0.9005030100112833,-0.9134459949970294
y44,-2.069890670827574,0.8157465472755405
y45,-3.504790164663829,-0.99838518542912
y46,-2.3658389534061985,2.3207791476196293
y47,-1.05989794296355,1.7811164853608075
y48,-7.98264472392291,-1.6634953080351798
y49,0.05813164846759838,-0.35429830264764645
y50,0.8317044212005089,-0.5352466228781582
y51,0.4233344556884856,-2.0267876878202635
y52,0.29842284744861725,-0.10132888781129179
y53,0.002546431808955363,-0.2816655392551079
y54,-1.4214878018467318,-2.566858870974954
y55,1.7352356344316964,-0.16999971481878517
y56,-0.14891036910810213,-0.8362961605869024
y57,-5.461785235479676,-1.7128443644656954
y58,-0.48675875207053354,-0.5569460058716147
y59,-14.22368835746863,-1.130366948365691
y60,-1.7054727262927207,0.16476876109021338
y61,1.6827910736772824,-1.7799928559014861
y62,-1.2205570661962066,0.15714725928724754
y63,2.223231451701695,0.7757988636967067
y64,-18.53139376606007,0.3024179240054914
y65,0.3243307409511912,-0.29776305955100524
y66,-11.825639916112081,1.0381152160801557
y67,-2.5222271833838956,-0.46126520210783273
y68,-4.825280683272369,1.8988798346368219
y69,-1.5218190889882768,0.7924962626460499
y70,1.9830709665752877,0.3736424232500072
y71,3.4643797157415888,0.39074148718550156
y72,3.4861197990194013,0.5875801389477215
y73,0.10550955370229714,-0.8017310881546138
y74,-2.9473171961601827,2.6328184219984063
y75,-0.6907252669737132,-0.64006297095133
y76,-0.011856340991598935,0.11012441417167335
y77,0.4616969765065125,0.059441810009829545
y78,-1.1551464542018588,1.0516088954357456
y79,-31.984427225586856,-1.7253525031829144
y80,-2.0296573719679785,-0.39123402935601015
y81,1.203556853271015,-0.9966439145638304
y82,-0.28696879482608795,0.41178799560623336
y83,1.7393870094881505,-0.7353833968243972
y84,-1.5627556805415934,-0.6124120674030216
y85,-0.1465581289901785,0.17215354185074072
y86,0.5885435565768606,-0.26409105975235325
y87,-6.693312216223892,4.866172372863813
y88,-0.13551291180233183,-0.05996933248523329
y89,-2.3380304676560772,0.6232157311323216
y90,2.521259476041379,-0.5244964230777233
y91,0.13449639867220464,-0.6415016619903499
y92,-0.12710286519465216,0.07455136991176158
y93,1.116366234947301,-1.297570435085451
y94,-0.3524946074366207,0.16879041959421826
y95,1.3742658145025175,0.9367749783520145
y96,-1.710525798787339,-1.6293926150070273
y97,0.04084408931118893,-0.03149064632783846
y98,4.691133346862231,0.16064195397969272
y99,-0.4794354719207399,0.5162470746540263
y100,-0.46525549616114686,0.0920361438869153
y101,-1.0107383316523189,0.5268495650801897
y102,-2.041702245031741,0.9910458791514954
y103,-0.14194041465359158,0.07080434984600581
y104,-2.8656864264883124,0.9849732758418849
y105,2.0457200647843594,0.0581824330314559
y106,-0.7665822763272988,0.426334124543523
y107,-0.48068293976596166,0.44341428014009715
y108,-1.2325238645574421,0.15839223994039311
y109,-0.98786318468008,-0.08977477805713807
y110,-0.28618894654629196,-1.2302507369447682
y111,-1.3577482646730434,-0.0594908259723541
y112,-2.776973445648198,1.0546422708107168
y113,-0.7402779825995601,0.2820293520485244
y114,0.4092634566200902,-0.5753818050244716
y115,-1.0977666161139106,0.6486445714491049
y116,0.08999391009923656,-0.6882117324967192
y117,0.03234163576529011,-0.7275100934057926
y118,-2.1851182876993436,1.96771856605308
y119,-0.11769667800364148,-0.17247305359322013
y120,-2.0974266712930687,0.13068633241018895
y121,-1.1273441161622646,0.39322710978400577
y122,-0.96191078983922,0.20462581810973784
y123,-0.4080278014740956,-0.3816538993488955
y124,-0.601050325724164,-0.31715458100349553
y125,-3.297137896408928,-0.29590434900370527
y126,-1.2537837583933684,-0.09334353450249427
y127,1.2276281036013628,-0.4777043576947534
y128,0.000220306481414443,-0.23243968510604074
y129,-0.4399677733160253,-0.038125429435707694
y130,-0.1346852257475259,-0.8746894528321593
y131,-1.1931389359822158,0.8722059399463135
y132,-1.186351689488267,0.6066379242125928
y133,-0.5964504951507441,0.6446482403556395
y134,0.9811119736484322,-0.698492196017682
y135,-0.1982790901751127,-0.5368986134431243
y136,0.21029505074486343,0.019870934928664624
y137,-0.5721453751636931,0.7085447594669148
y138,-1.147098268873239,0.4366379070130411
y139,-0.00845785490842348,0.0994629080254087
y140,-0.01895597905516764,0.07170946689531016
y141,0.07225185428117552,-0.6530726311339776
y142,-0.08117919604187315,0.0968021603867105
y143,-0.005650609562680056,0.02204014789881361
y144,-0.0475755475731817,-0.29991628546186905
y145,-0.11894618865088523,0.12457657552748777
y146,-0.14976166080769535,0.14375774259244836
y147,-0.4409535165531412,0.11960114056874982
y148,-0.019254088348887425,0.043123532058390195
y149,-3.607308684106253,0.4500114572862801
y150,-0.06807348218531664,0.0718437058140412
y151,-0.040844089311190296,0.04699527402029857
y152,0.1985126419035047,0.2887404705907638
y153,-1.055041716625932,0.7320481157755845
y154,0.5890365534473317,0.040601522670087924
y155,0.5669418788058476,-0.45299849321992514
y156,-0.14442147573783803,0.026336768002716004
y157,-0.006296617992727939,0.052468973576915434
y158,-0.05205094582387229,-0.3980457794580622
y159,-0.9678008586744503,0.12862384651980038
y160,-1.6928136392096382,1.7079039514874923
y161,-0.013417780547132635,0.009647556918407185
y162,-0.5653169351190606,0.11621307021917944
y163,0.04781081838109383,-0.18523997503779047
y164,-0.17537248702497205,-0.2149690905407068
y165,0.004493536124092503,-0.12833936718420852
y166,0.03144179461149396,-0.13547311173036336
y167,-0.735947415217919,0.4653733407075215
y168,0.027229392874125537,-0.027528719305140562
y169,-0.04336349814020754,-0.061480242979912086
y170,-1.0420905878544369,0.9642504102653797
y171,0.1018598552851912,-0.10947919001580345
y172,-0.358118145503282,0.3113590053373042
y173,0.040108637967351896,-0.16108969379485544
y174,-0.28302457739701803,0.26054391598005494
y175,0.13871075290404417,-0.1555716181688753
y176,-0.6066743617152544,0.37401332269940457
y177,-0.12253226793356939,0.11752663283016215
y178,0.15181497729569626,-0.1448814004932939
y179,-0.2999638959183032,0.023683879888244858
y180,0.019079728890953766,-0.07987649028113356
y181,-0.4901136424942334,0.40978306655625907
y182,-0.08952264229882557,-0.11446450673244639
y183,-0.26745575726492826,0.12587536546320618
y184,-1.396550896814329,1.3440385589063641
y185,-0.2509080577723093,0.3052252109809583
y186,-0.5752738172587988,0.42988878317402135
y187,0.15706250386450846,-0.17985936727510662
y188,-0.8390255416029682,0.847341090269951
y189,-0.04831768582883056,-0.14955648432766325
y190,-0.6423242201230355,0.5003158362157661
y191,-0.04175108495852421,-0.11546287372961675
y192,-0.4959797998195355,0.46123596527548216
y193,-0.012322513930057111,-0.1428017361384162
y194,0.0262001698336317,-0.3069608133732902
y195,-0.4186058301622661,0.3166130597969608
y196,-0.40306746356487416,0.3063281553606599
y197,-0.014017901790189177,-0.0835432856560182
y198,0.005226943575109446,-0.09554106194585374
y199,-0.014036448222775558,-0.20835571687133647
y200,-0.24356520629238135,0.15035256935726418
y201,0.023966818460274264,-0.1018973551166372
y202,0.02401775755749562,-0.055442389966931536
y203,-0.09778374794230181,0.0537400626494202
y204,-0.35524181878134553,0.3597531475351312
y205,-0.24660938531685817,0.20196717312761484
y206,0.009839288906624753,-0.10155212873314383
y207,-0.018216817501856518,-0.04555150522331955
y208,0.06242287262263583,-0.08813599392568917
y209,-0.03769171463341828,-0.00923605872781416
y210,-0.029533883597395665,-0.039857194159401935
y211,-0.1468465515032444,0.1294111598494321
y212,0.0009506631505759224,-0.0683061099182166
y213,0.0048521475345468575,-0.062433049768392666
y214,-0.24188792641339785,0.2507904070952951
y215,-0.0969114195421412,0.08569221771278954
y216,0.0008998443603656847,-0.0453356864271531
y217,0.008442475189531177,-0.04371904551842778
y218,-0.0430534503928996,0.005365979454615942
y219,-0.18435798295210037,0.07405370407622647
y220,-0.05865608103772292,0.05433935852923786
y221,-0.01111635309123177,0.0062636728218442815
y222,-0.08598338793713857,0.06687294485317268
y223,0.0056492037048250215,-0.012956032780657024
y224,0.007860448652873475,-0.01566844569256927
y225,-0.2912804310434312,0.2614522724143607
y226,-0.06178520275272744,0.0528946175052683
y227,-0.013614696437063959,0.014263088942400155
y228,0.01799764972351614,-0.03258269497239637
y229,-0.07828642372934674,0.023288326760453296
y230,0.061135083112046885,-0.05534118387856404
y231,-0.020639687311618287,-0.0741780537191279
y232,0.007838016581396639,-0.009616537298863408
y233,-0.005650609562680063,0.0056506095626793935
y234,-0.42730047088659817,0.4017320020447903
y235,0.008466025508966935,-0.01593666635866262
y236,-0.01364910011027454,-0.014825865884956196
y237,-0.0991121522645996,-0.008452437406214893
y238,-0.010906699359114657,0.005569751209585801
y239,-0.1745850213441853,0.18002687041155924
y240,0.012864678910039486,-0.04285682219482692
y241,-0.11975858507745818,0.08251012369179778
y242,0.01229266100570324,-0.021007860839061546
y243,0.001760149030172728,0.015205857299089895
y244,0.18640560165406445,-0.17774292904936134
y245,0.014893482800535969,-0.12799736860463679
y246,-7.593766890252974e-16,9.144982922634539e-17
y247,0.010192536057732893,-0.017418798012791552
y248,0.008610690078579016,-0.01916373649940161
y249,-0.013614696437063895,0.00041891373652507523
y250,-0.22964920089742516,0.1980887096088769
y251,-0.009026236696991005,0.006532468169815772
y252,-0.019254088348887415,0.027805175186986365
y253,-0.04596787940613798,0.01767026425579355
y254,-0.22864611036620386,0.14182609933032017
y255,-0.021332603334032724,0.021332603334034087
y256,0.027229392874125555,-0.02833211259519474
y257,-7.965559405266748e-16,-0.0056553354430876265
y258,0.07245643547176876,-0.09130755361539532
y259,-0.19420574264925936,0.1858587380333652
y260,-0.00438295328645426,0.004382953286453578
y261,0.012337910332896697,-0.012337910332895333
y262,-0.08040310409619524,0.07259957415974727
y263,-0.0645348208957601,-0.008080000159101385
y264,7.040076742124304e-19,-3.96593960559733e-19
y265,-7.501086780031812e-16,6.396796189101566e-17
y266,0.0488081761855727,-0.04126772892812305
y267,-0.1032501692189135,0.07790867564622504
y268,-7.492252111580305e-16,6.942189014723441e-17
y269,-0.08750390175248955,0.0348928220406614
y270,-0.1813251459124149,0.15703338160234667
y271,-0.04987816864234705,0.030495148593172622
y272,-0.0036636232663027485,-0.011555323884362392
y273,-0.0030278053063999156,0.04073004159365113
y274,0.004452655499585036,-0.02134674001677415
y275,0.015720897305746932,-0.020106752670227226
y276,-0.04710943177652532,0.022641480486536927
y277,-0.031559726087316047,0.02386378933184778
y278,0.027229392874125576,-0.02801178496742033
y279,-0.06650845680025647,0.029739102668912044
y280,-0.02864234447817935,0.03408419354555328
y281,0.020953256762734046,-0.07223395170165098
y282,0.013614696437062427,-0.015499808251425686
y283,-7.661832031928902e-16,-0.029258352257825148
y284,-0.10225365940546698,0.06901107638443972
y285,9.47828907391207e-18,-0.009222770906843526
y286,0.06242287262263585,-0.06164048052934235
y287,-0.009109929848810077,-0.056644528914899864
y288,-8.04978058768025e-16,-0.0003203276277743744
y289,-0.028412892443775817,-0.013488166422845746
y290,0.010071372484587063,-0.06809860405836113
y291,0.010097771933513815,-0.061376686146640894
y292,0.00068624151929139,-0.02443387730105908
y293,-0.013614696437064077,0.00018227398764161275
y294,-0.040262413311735995,0.023494019039801913
y295,-0.027229392874127054,0.021791744897886656
y296,-0.04786285145013045,0.012314096379933954
y297,0.009848914129970621,-0.03567371609787325
y298,0.009875213013133294,-0.04110799802714317
y299,0.014021860241346721,-0.055870762737575755
y300,-7.706190720895897e-16,-0.023899583131666124
y301,0.014097450332258454,-0.026797175074464892
y302,-8.049358330052802e-16,0.001625902297225206
y303,-0.06711179832922007,0.03377742382587987
y304,0.009827003954668666,-0.028281734540651554
y305,0.009853744151076977,-0.04685784398349945
y306,0.013992449775384365,-0.05619156641173835
y307,-7.964728937590275e-16,-0.005335007815313048
y308,-0.12681572082774856,0.11921904039093556
y309,0.007128566960554632,-0.02345411416267642
y310,-0.14491605188283102,0.12448803089985791
y311,0.05087765216032146,-0.052762763974684754
y312,-0.06819479255597871,0.04347880919890966
y313,-0.014929203995762851,-0.0031572918951739467
y314,0.027229392874125385,-0.03288472831721381
y315,-0.010600803804936797,-0.02337253572774589
y316,-0.029911651282415047,-0.012166062466956635
y317,-0.010714603402396727,-0.010983301705683079
y318,-0.10715114906607323,0.09159091956477206
y319,-0.029299104356118672,0.01604374855514713
y320,-0.04084408931119033,0.03956584795187454
y321,-0.015812512013331077,-0.0074680883305262204
y322,-8.721702979740135e-16,-0.004872943349793457
y323,-0.0705181811826465,0.054666250730324537
y324,-1.205632815803881e-15,0.002667503907657135
y325,-0.08063991917687421,0.07283321470171597
y326,0.007534105525981698,-0.0313821428882731
y327,0.1288696078194897,-0.12118494661214703
y328,-0.03281918556468731,0.008791950018568818
y329,-0.10301484486698408,0.09656521979704553
y330,-0.008027495650411033,-0.005528143987551952
y331,-0.08831331125391019,0.08428067396424911
y332,0.011116353091230153,-0.018812289846698405
y333,0.00559698977848797,-0.011952409756880998
y334,-0.0335822723196558,0.018401869583305974
y335,-0.00786044865287346,0.006772078839398675
y336,0.005614618136405594,-0.027151372293148093
y337,0.004164567432714832,-0.01468810898383359
y338,0.013614696437062278,-0.015499808251425528
y339,-0.013652171724116577,-0.005282463580044869
y340,-0.035221855040461506,0.026839730884196368
y341,0.00791687457726729,-0.02725768379052087
y342,0.002334901176104167,-0.008477487347075086
y343,-7.972443662047341e-16,0.007540447257450492
y344,-0.01365998159092598,0.0010268161428574757
y345,0.003638680678037924,-0.00918067124918474
y346,0.005581225931462366,-0.02092503724553609
y347,-7.78063746754616e-16,1.0550922819596137e-16
y348,-0.010503966344780584,0.008176933800705097
y349,-0.005727398597949781,-0.009296951586474722
